cluster_id,center_lat,center_lng,radius_m,radius_km,start_date,end_date,start_year,start_month,end_year,end_month,duration_days,duration_weeks,observed_cases,expected_cases,excess_cases,obs_exp_ratio,llr,p_value,is_high_rate,is_hierarchical,is_gini,slider_value,n_case_points,cases_centroid_lat,cases_centroid_lng,center_to_case_centroid_km,cases_bbox_lat_min,cases_bbox_lat_max,cases_bbox_lng_min,cases_bbox_lng_max,cases_bbox_lat_span_km,cases_bbox_lng_span_km
233,32.749593,-117.249227,289.089982,0.28909,2022/7/13,2022/8/16,2022,7,2022,8,34,4.86,60,13.93,46.07,4.31,41.555067,0.005,True,True,False,0.00497512,428,32.748969,-117.250859,0.1677,32.747027,32.752181,-117.252315,-117.246588,0.5731,0.5356
234,32.766318,-117.111268,26.851465,0.02685,2023/8/2,2023/8/15,2023,8,2023,8,13,1.86,14,0.27,13.73,51.45,41.441672,0.005,True,True,False,0.00497512,14,32.766334,-117.111323,0.0054,32.766134,32.76655,-117.111451,-117.111126,0.0463,0.0304
235,32.754013,-117.145321,22.125311,0.02213,2022/4/13,2022/8/16,2022,4,2022,8,125,17.86,46,8.23,37.77,5.59,41.378605,0.005,True,True,False,0.00497512,72,32.754006,-117.145332,0.0013,32.753829,32.7542,-117.145555,-117.145141,0.0413,0.0387
236,32.714607,-117.156938,18.863114,0.01886,2022/1/1,2022/3/1,2022,1,2022,3,59,8.43,35,4.49,30.51,7.8,41.369986,0.005,True,True,False,0.00497512,98,32.714655,-117.156971,0.0061,32.714457,32.714772,-117.157127,-117.15675,0.035,0.0353
237,32.867733,-117.232046,40.793347,0.04079,2024/5/22,2024/6/18,2024,5,2024,6,27,3.86,21,1.15,19.85,18.33,41.229386,0.005,True,True,False,0.00497512,44,32.867721,-117.232092,0.0045,32.867474,32.867927,-117.232466,-117.231681,0.0504,0.0733
238,32.748228,-117.140212,26.582324,0.02658,2024/10/30,2024/12/10,2024,10,2024,12,41,5.86,22,1.32,20.68,16.64,41.186555,0.005,True,True,False,0.00497512,48,32.748144,-117.140162,0.0104,32.747994,32.748355,-117.140374,-117.140004,0.0401,0.0346
239,32.787718,-117.110895,220.123121,0.22012,2023/8/16,2023/8/29,2023,8,2023,8,13,1.86,15,0.37,14.63,41.09,41.102398,0.005,True,True,False,0.00497512,19,32.786481,-117.111224,0.1409,32.785784,32.788409,-117.113138,-117.110371,0.2919,0.2587
240,32.754557,-117.159214,134.690535,0.13469,2022/1/1,2022/1/18,2022,1,2022,1,17,2.43,16,0.46,15.54,34.45,41.099495,0.005,True,True,False,0.00497512,35,32.75475,-117.15932,0.0237,32.7535,32.755739,-117.160266,-117.158364,0.249,0.1779
241,32.738147,-117.159036,102.172573,0.10217,2023/7/12,2023/8/15,2023,7,2023,8,34,4.86,27,2.38,24.62,11.36,40.9949,0.005,True,True,False,0.00497512,54,32.738511,-117.159127,0.0413,32.737237,32.73905,-117.159781,-117.158542,0.2016,0.1159
242,32.798808,-117.258053,392.485271,0.39249,2022/5/25,2022/11/22,2022,5,2022,11,181,25.86,156,68.53,87.47,2.28,40.886838,0.005,True,True,False,0.00497512,417,32.798458,-117.257512,0.0638,32.795451,32.802166,-117.259674,-117.254075,0.7467,0.5233
243,32.718336,-117.156335,67.296108,0.0673,2023/11/1,2023/12/26,2023,11,2023,12,55,7.86,71,19.35,51.65,3.67,40.67143,0.005,True,True,False,0.00497512,305,32.717868,-117.156377,0.0521,32.717732,32.718781,-117.156766,-117.15569,0.1166,0.1007
244,32.711245,-117.150336,11.315683,0.01132,2022/10/12,2023/1/10,2022,10,2023,1,90,12.86,55,12.04,42.96,4.57,40.58501,0.005,True,True,False,0.00497512,198,32.711262,-117.150319,0.0024,32.711146,32.711347,-117.150457,-117.150225,0.0224,0.0217
245,32.76204,-117.209111,49.669837,0.04967,2024/6/5,2024/8/20,2024,6,2024,8,76,10.86,25,2.0,23.0,12.52,40.186764,0.005,True,True,False,0.00497512,29,32.762148,-117.20896,0.0186,32.761953,32.762327,-117.209605,-117.208611,0.0416,0.0929
246,32.708447,-117.148532,53.038613,0.05304,2024/3/6,2024/4/9,2024,3,2024,4,34,4.86,49,9.73,39.27,5.04,39.955797,0.005,True,True,False,0.00497512,272,32.708422,-117.148645,0.0109,32.707978,32.708921,-117.149093,-117.148122,0.1049,0.0908
247,32.755458,-117.242515,86.968662,0.08697,2022/3/2,2022/3/22,2022,3,2022,3,20,2.86,16,0.5,15.5,31.87,39.890035,0.005,True,True,False,0.00497512,29,32.755347,-117.24237,0.0183,32.754917,32.755614,-117.243372,-117.241615,0.0775,0.1643
248,32.751263,-117.235262,48.962127,0.04896,2024/9/11,2024/9/17,2024,9,2024,9,6,0.86,10,0.069,9.93,145.47,39.868759,0.005,True,True,False,0.00497512,12,32.751353,-117.235368,0.0141,32.751123,32.751648,-117.235683,-117.234972,0.0584,0.0665
249,32.778028,-117.141916,547.786626,0.54779,2024/10/30,2024/12/17,2024,10,2024,12,48,6.86,33,4.12,28.88,8.02,39.806547,0.005,True,True,False,0.00497512,126,32.77719,-117.141172,0.1163,32.773168,32.780985,-117.146629,-117.136072,0.8692,0.987
250,32.769751,-117.096802,1114.925658,1.11493,2024/3/20,2024/12/24,2024,3,2024,12,279,39.86,163,73.99,89.01,2.2,39.763815,0.005,True,True,False,0.00497512,311,32.767634,-117.097311,0.2401,32.759877,32.779236,-117.107651,-117.085094,2.1526,2.109
251,32.790726,-117.098412,37.551907,0.03755,2023/3/15,2023/4/25,2023,3,2023,4,41,5.86,21,1.24,19.76,16.9,39.61854,0.005,True,True,False,0.00497512,37,32.790677,-117.098417,0.0055,32.79039,32.790849,-117.098663,-117.098178,0.051,0.0453
252,32.81136,-117.215493,505.175773,0.50518,2023/1/18,2023/3/7,2023,1,2023,3,48,6.86,44,7.88,36.12,5.58,39.554448,0.005,True,True,False,0.00497512,196,32.810845,-117.217985,0.2398,32.806847,32.814494,-117.22085,-117.211359,0.8503,0.887
253,32.75173,-117.100426,64.972365,0.06497,2023/8/9,2023/10/10,2023,8,2023,10,62,8.86,26,2.28,23.72,11.38,39.51999,0.005,True,True,False,0.00497512,27,32.751617,-117.100435,0.0125,32.751168,32.752251,-117.100784,-117.100113,0.1204,0.0628
254,32.754354,-117.101398,22.897164,0.0229,2022/10/12,2022/11/8,2022,10,2022,11,27,3.86,14,0.32,13.68,44.04,39.309088,0.005,True,True,False,0.00497512,14,32.754324,-117.101399,0.0033,32.754151,32.754438,-117.101624,-117.101277,0.0319,0.0324
255,32.717885,-117.150951,231.14487,0.23114,2024/2/7,2024/3/12,2024,2,2024,3,34,4.86,46,8.72,37.28,5.28,39.225342,0.005,True,True,False,0.00497512,216,32.717509,-117.151078,0.0435,32.716066,32.718701,-117.153373,-117.148487,0.293,0.4571
256,32.718605,-117.162979,218.445731,0.21845,2024/1/17,2024/2/20,2024,1,2024,2,34,4.86,108,40.04,67.96,2.7,39.219893,0.005,True,True,False,0.00497512,988,32.718993,-117.162393,0.0698,32.716665,32.720541,-117.165044,-117.160784,0.431,0.3985
257,32.764784,-117.140437,220.328131,0.22033,2023/3/8,2023/3/28,2023,3,2023,3,20,2.86,18,0.78,17.22,22.97,39.1992,0.005,True,True,False,0.00497512,48,32.764851,-117.139232,0.113,32.763183,32.76642,-117.141511,-117.1384,0.3599,0.2909
258,32.740559,-117.085348,79.763839,0.07976,2023/10/25,2023/11/21,2023,10,2023,11,27,3.86,20,1.1,18.9,18.23,39.161797,0.005,True,True,False,0.00497512,33,32.74024,-117.085212,0.0377,32.739981,32.740686,-117.085762,-117.08451,0.0784,0.1171
259,32.71478,-117.153635,5.932902,0.00593,2023/3/8,2023/4/4,2023,3,2023,4,27,3.86,18,0.79,17.21,22.78,39.060738,0.005,True,True,False,0.00497512,27,32.714786,-117.153639,0.0008,32.714726,32.714823,-117.153689,-117.153591,0.0108,0.0092
260,32.712168,-117.137365,116.83258,0.11683,2023/11/22,2023/12/26,2023,11,2023,12,34,4.86,23,1.68,21.32,13.69,38.862803,0.005,True,True,False,0.00497512,49,32.712295,-117.137803,0.0433,32.711298,32.713002,-117.138497,-117.136264,0.1895,0.2089
261,32.758322,-117.072887,69.393252,0.06939,2022/7/13,2022/7/26,2022,7,2022,7,13,1.86,15,0.43,14.57,35.09,38.797897,0.005,True,True,False,0.00497512,32,32.758856,-117.072759,0.0606,32.758322,32.758935,-117.072887,-117.072669,0.0682,0.0204
