record_id,date,description,Matches Homeless/Encampment Filter,Camp,Vehicle,Individual,Active Camp,Abandoned Camp,Transient Camp,Abandoned Vehicle,Mental Health Crisis,Neutral Presence,Daily Activities,Using Drugs,geometry
51237,2023-10-19 18:13:00+00:00,Homeless,True,True,False,False,False,False,False,False,False,False,False,False,POINT (-117.1612055 32.7221434698354)
29018,2023-07-04 01:42:00+00:00,Encampments,True,True,False,False,False,False,False,False,False,False,False,False,POINT (-117.1495805 32.7107466666667)
60220,2023-12-03 07:41:00+00:00,Dangerous homeless encampments and drug use surrounding perimeter of Salvation Army building. Sidewalks unsable for pedestrians. Clear out tents ASAP!,True,True,False,False,False,False,False,False,False,False,False,True,POINT (-117.1581989 32.7139763485835)
28869,2021-10-05 11:02:00,homeless encampment fire.  Reporting party is SDFD.    FIRE IN RIVER BED,True,True,False,False,False,False,False,False,False,False,False,False,POINT (-117.1189597 32.7115718000001)
55404,2023-11-09 17:45:00+00:00,"Homeless encampment, Occupant harassing park patrons.",True,True,False,False,False,False,False,False,False,False,False,False,POINT (-117.0416195 32.7044937)
48092,2023-10-04 04:28:00+00:00,4 Homeless camps in between trolley tracks and freeways,True,True,False,False,False,False,False,False,False,False,False,False,POINT (-117.066553 32.5688477)
616,2020-01-30 16:37:00,Homeless camp with lots of trash and stolen items set up next to construction area near San Diego River,True,True,False,False,True,False,False,False,False,False,False,False,POINT (-117.23026369 32.7610236400001)
41267,2023-08-31 18:36:00+00:00,Homeless encampment with fire.  The fire has been extinguished.  RP is SDFD.,True,True,False,False,False,False,False,False,False,False,False,False,POINT (-117.1963369 32.7592636)
41310,2022-09-09 12:18:00,Encampment blocking sidewalk at sea wall. Not compliant with permit to sell product at beach. They have been in OB pier parking lot most every day for werks,True,True,False,False,False,False,False,False,False,False,False,False,POINT (-117.252724841 32.7480021700001)
7121,2023-02-17 23:32:00+00:00,"2 adults, 2 -3  children, 1 dog. They were dropped off along with a substantial amount of items including a tepee style tent, bedding, 5-10 bags, food, solar panels, table and a gazebo. Most clothing & bedding items were very quickly hidden in the tent.  They are clearly setting up camp and not just out for a day's picnic. Please don't let beautiful Harbor Island be ruined by homeless activity. This happened around 2 pm Fri 2/17/23. Unfortunately, pictures were taken after much had been hidden in the tent. You can see the bed rolls tucked at the side of the tent and the bulge of the tent.",True,True,False,False,False,False,False,False,False,False,False,False,POINT (-117.2084312 32.7247073599231)
14374,2023-04-10 17:34:00+00:00,Homeless,True,True,False,False,False,False,False,False,False,False,False,False,POINT (-117.1533068 32.714726076935)
