cluster_id,center_lat,center_lng,radius_m,radius_km,start_date,end_date,start_year,start_month,end_year,end_month,duration_days,duration_weeks,observed_cases,expected_cases,excess_cases,obs_exp_ratio,llr,p_value,is_high_rate,is_hierarchical,is_gini,slider_value,n_case_points,cases_centroid_lat,cases_centroid_lng,center_to_case_centroid_km,cases_bbox_lat_min,cases_bbox_lat_max,cases_bbox_lng_min,cases_bbox_lng_max,cases_bbox_lat_span_km,cases_bbox_lng_span_km
32,32.745685,-117.183398,292.868333,0.29287,2024/9/18,2024/9/24,2024,9,2024,9,6,0.86,47,0.76,46.24,61.94,147.699952,0.01,True,True,False,0.01,106,32.74415,-117.183869,0.1763,32.743127,32.746791,-117.186034,-117.180528,0.4074,0.5149
33,32.755505,-117.124353,165.573233,0.16557,2024/7/31,2024/12/31,2024,7,2024,12,153,21.86,224,54.5,169.5,4.11,147.251703,0.01,True,True,False,0.01,492,32.755373,-117.12537,0.0962,32.754134,32.756832,-117.126096,-117.123337,0.3,0.258
34,32.707629,-117.148972,46.708473,0.04671,2024/11/20,2024/12/31,2024,11,2024,12,41,5.86,77,4.59,72.41,16.76,144.698641,0.01,True,True,False,0.01,197,32.7077,-117.148845,0.0143,32.70731,32.708017,-117.149461,-117.148507,0.0786,0.0893
35,32.707659,-117.152724,94.883651,0.09488,2023/11/1,2023/12/5,2023,11,2023,12,34,4.86,207,47.86,159.14,4.33,144.128951,0.01,True,True,False,0.01,1106,32.70803,-117.152673,0.0415,32.70701,32.708505,-117.153712,-117.151784,0.1662,0.1804
36,32.767709,-117.050141,174.33805,0.17434,2022/2/2,2022/6/28,2022,2,2022,6,146,20.86,216,53.29,162.71,4.05,139.694965,0.01,True,True,False,0.01,419,32.768496,-117.050287,0.0885,32.767552,32.769172,-117.051801,-117.048409,0.1801,0.3172
37,32.866975,-117.229402,263.992522,0.26399,2022/2/16,2022/4/12,2022,2,2022,4,55,7.86,82,6.11,75.89,13.42,137.060775,0.01,True,True,False,0.01,127,32.868148,-117.230026,0.1429,32.865124,32.868833,-117.232101,-117.228681,0.4124,0.3194
38,32.760573,-117.067318,82.098789,0.0821,2024/7/17,2024/11/19,2024,7,2024,11,125,17.86,160,30.36,129.64,5.27,136.37473,0.01,True,True,False,0.01,287,32.760558,-117.067337,0.0025,32.759928,32.761274,-117.068195,-117.066629,0.1497,0.1464
39,32.751746,-117.153473,341.371574,0.34137,2024/4/17,2024/5/28,2024,4,2024,5,41,5.86,174,36.56,137.44,4.76,134.120648,0.01,True,True,False,0.01,877,32.750812,-117.154244,0.1264,32.748683,32.753699,-117.156859,-117.149869,0.5578,0.6537
40,32.763901,-117.126921,79.629945,0.07963,2023/8/30,2023/10/17,2023,8,2023,10,48,6.86,93,9.0,84.0,10.34,133.25892,0.01,True,True,False,0.01,139,32.763461,-117.126753,0.0514,32.763196,32.76401,-117.127336,-117.126307,0.0905,0.0962
41,32.747924,-117.141132,73.360447,0.07336,2023/3/8,2023/4/4,2023,3,2023,4,27,3.86,61,2.66,58.34,22.92,132.736629,0.01,True,True,False,0.01,119,32.748004,-117.141075,0.0104,32.747434,32.748531,-117.14164,-117.140374,0.122,0.1184
42,32.715554,-117.157172,47.151016,0.04715,2023/9/27,2024/2/20,2023,9,2024,2,146,20.86,270,83.42,186.58,3.24,130.705409,0.01,True,True,False,0.01,446,32.715456,-117.157359,0.0206,32.715164,32.715878,-117.157601,-117.156731,0.0794,0.0814
43,32.712383,-117.16025,159.085766,0.15909,2022/1/1,2022/4/26,2022,1,2022,4,115,16.43,188,43.56,144.44,4.32,130.556391,0.01,True,True,False,0.01,472,32.712416,-117.161045,0.0745,32.711348,32.713772,-117.161935,-117.158585,0.2695,0.3134
44,32.721668,-117.156634,341.743982,0.34174,2024/8/7,2024/12/31,2024,8,2024,12,146,20.86,315,108.25,206.75,2.91,129.903494,0.01,True,True,False,0.01,1021,32.721346,-117.157268,0.0693,32.718603,32.724695,-117.160252,-117.153502,0.6774,0.6315
45,32.781559,-117.112323,76.276597,0.07628,2022/12/21,2023/1/17,2022,12,2023,1,27,3.86,51,1.53,49.47,33.26,129.270273,0.01,True,True,False,0.01,76,32.781676,-117.112646,0.0329,32.781127,32.782067,-117.113135,-117.111711,0.1045,0.1331
46,32.71817,-117.157818,153.062336,0.15306,2022/7/13,2023/1/31,2022,7,2023,1,202,28.86,387,151.71,235.29,2.55,127.373955,0.01,True,True,False,0.01,908,32.71783,-117.156842,0.0988,32.71682,32.719524,-117.159345,-117.156225,0.3007,0.2919
47,32.74149,-117.146374,109.79805,0.1098,2022/10/26,2022/11/22,2022,10,2022,11,27,3.86,58,2.5,55.5,23.24,126.960392,0.01,True,True,False,0.01,112,32.740921,-117.146537,0.0651,32.740541,32.741949,-117.147473,-117.145281,0.1566,0.205
