cluster_id,center_lat,center_lng,radius_m,radius_km,start_date,end_date,start_year,start_month,end_year,end_month,duration_days,duration_weeks,observed_cases,expected_cases,excess_cases,obs_exp_ratio,llr,p_value,is_high_rate,is_hierarchical,is_gini,slider_value,n_case_points,cases_centroid_lat,cases_centroid_lng,center_to_case_centroid_km,cases_bbox_lat_min,cases_bbox_lat_max,cases_bbox_lng_min,cases_bbox_lng_max,cases_bbox_lat_span_km,cases_bbox_lng_span_km
418,32.763284,-117.097525,31.718927,0.03172,2023/10/11,2023/10/17,2023,10,2023,10,6,0.86,8,0.071,7.93,112.11,29.827168,0.01,True,True,False,0.01,8,32.763276,-117.097518,0.0011,32.763018,32.763455,-117.097647,-117.097418,0.0486,0.0214
419,32.707277,-117.119776,1188.254635,1.18825,2024/6/19,2024/12/31,2024,6,2024,12,195,27.86,147,72.12,74.88,2.04,29.82028,0.01,True,True,False,0.01,461,32.708826,-117.121849,0.2594,32.696835,32.717673,-117.132395,-117.109203,2.3171,2.1699
420,32.578224,-117.09442,567.518615,0.56752,2022/10/26,2023/4/25,2022,10,2023,4,181,25.86,50,13.2,36.8,3.79,29.783186,0.01,True,True,False,0.01,76,32.581097,-117.093322,0.3356,32.573949,32.583296,-117.096258,-117.089245,1.0393,0.6571
421,32.742443,-117.089973,97.247802,0.09725,2022/10/26,2022/12/6,2022,10,2022,12,41,5.86,13,0.51,12.49,25.5,29.61378,0.01,True,True,False,0.01,16,32.742162,-117.089539,0.0512,32.741704,32.743104,-117.089973,-117.089038,0.1557,0.0874
422,32.716917,-117.162206,19.50187,0.0195,2023/4/19,2023/6/6,2023,4,2023,6,48,6.86,21,2.09,18.91,10.06,29.573816,0.01,True,True,False,0.01,38,32.716862,-117.162181,0.0066,32.71675,32.716999,-117.162411,-117.162014,0.0277,0.0371
423,32.714425,-117.157464,19.614534,0.01961,2023/10/4,2023/10/24,2023,10,2023,10,20,2.86,34,6.31,27.69,5.39,29.566028,0.01,True,True,False,0.01,245,32.714426,-117.157425,0.0036,32.71425,32.714593,-117.157585,-117.157298,0.0381,0.0269
424,32.717952,-117.1544,112.779576,0.11278,2024/9/25,2024/11/19,2024,9,2024,11,55,7.86,80,29.43,50.57,2.72,29.443564,0.01,True,True,False,0.01,565,32.717976,-117.154582,0.0172,32.716952,32.718885,-117.155603,-117.153373,0.2149,0.2086
425,32.791014,-117.206009,49.607031,0.04961,2022/1/12,2022/1/25,2022,1,2022,1,13,1.86,13,0.52,12.48,25.08,29.407768,0.01,True,True,False,0.01,47,32.790827,-117.205962,0.0213,32.790574,32.79138,-117.206423,-117.205661,0.0896,0.0712
426,32.723569,-117.158543,69.706134,0.06971,2022/3/2,2022/4/12,2022,3,2022,4,41,5.86,23,2.65,20.35,8.68,29.349514,0.01,True,True,False,0.01,75,32.723768,-117.158961,0.0449,32.722957,32.724073,-117.15928,-117.15793,0.1241,0.1263
427,32.750109,-117.160969,123.763635,0.12376,2023/11/1,2023/11/28,2023,11,2023,11,27,3.86,28,4.22,23.78,6.63,29.190189,0.01,True,True,False,0.01,121,32.749987,-117.161522,0.0534,32.749006,32.751211,-117.162283,-117.159764,0.2452,0.2356
428,32.69299,-117.125451,6.307141,0.00631,2022/3/2,2022/5/3,2022,3,2022,5,62,8.86,15,0.84,14.16,17.95,29.152395,0.01,True,True,False,0.01,16,32.692992,-117.125432,0.0018,32.692938,32.693046,-117.125463,-117.125392,0.012,0.0066
